iter	Passed	Remaining
176	801	3724
177	803	3708
178	805	3692
179	806	3675
180	808	3658
181	810	3644
182	812	3628
183	842	3735
184	844	3720
185	852	3731
186	855	3719
187	858	3709
188	864	3711
189	880	3753
190	886	3753
191	887	3735
192	889	3718
193	892	3707
194	894	3691
195	902	3701
196	904	3685
197	906	3672
198	908	3655
199	910	3640
200	914	3633
201	915	3618
202	917	3603
203	919	3587
204	921	3572
205	924	3561
206	925	3546
207	930	3542
208	932	3528
209	934	3514
210	936	3500
211	937	3486
212	940	3473
213	941	3458
214	954	3486
215	956	3471
216	965	3485
217	968	3472
218	969	3457
219	971	3443
220	973	3431
221	985	3455
222	989	3446
223	990	3432
224	994	3426
225	996	3414
226	998	3399
227	999	3385
228	1001	3371
229	1003	3357
230	1005	3347
231	1008	3338
232	1010	3327
233	1012	3314
234	1014	3302
235	1016	3292
236	1018	3280
237	1020	3267
238	1023	3258
239	1024	3245
240	1026	3232
241	1028	3220
242	1030	3208
243	1031	3197
244	1033	3185
245	1035	3173
246	1039	3169
247	1041	3158
248	1043	3147
249	1045	3135
250	1046	3124
251	1048	3112
252	1050	3101
253	1052	3090
254	1054	3080
255	1056	3069
256	1057	3058
257	1059	3047
258	1062	3039
259	1064	3028
260	1066	3018
261	1067	3007
262	1070	2999
263	1072	2989
264	1073	2978
265	1075	2967
266	1077	2957
267	1078	2946
268	1080	2935
269	1082	2925
270	1083	2915
271	1086	2907
272	1088	2899
273	1090	2889
274	1092	2880
275	1094	2869
276	1095	2859
277	1097	2849
278	1100	2842
279	1101	2833
280	1104	2825
281	1105	2815
282	1107	2806
283	1109	2796
284	1110	2786
285	1112	2778
286	1115	2770
287	1117	2761
288	1119	2753
289	1120	2744
290	1122	2735
291	1124	2726
292	1126	2717
293	1127	2707
294	1129	2698
295	1132	2694
296	1134	2685
297	1136	2676
298	1139	2670
299	1140	2662
300	1142	2653
301	1146	2649
302	1149	2643
303	1153	2640
304	1154	2631
305	1157	2625
306	1167	2635
307	1189	2672
308	1196	2675
309	1198	2666
310	1199	2657
311	1201	2648
312	1202	2639
313	1204	2631
314	1205	2622
315	1217	2634
316	1218	2625
317	1220	2617
318	1221	2608
319	1224	2602
320	1229	2601
321	1235	2600
322	1262	2646
323	1267	2645
324	1271	2641
325	1274	2634
326	1275	2625
327	1277	2617
328	1280	2611
329	1282	2603
330	1285	2598
331	1290	2595
332	1296	2596
333	1297	2587
334	1300	2582
335	1302	2574
336	1304	2566
337	1326	2599
338	1328	2591
339	1331	2584
340	1335	2581
341	1349	2595
342	1357	2599
343	1359	2591
344	1361	2584
345	1367	2583
346	1368	2575
347	1370	2567
348	1371	2559
349	1373	2550
350	1374	2542
351	1376	2533
352	1384	2537
353	1386	2529
354	1389	2525
355	1391	2517
356	1393	2510
357	1395	2502
358	1397	2495
359	1405	2497
360	1407	2491
361	1409	2483
362	1411	2476
363	1414	2470
364	1416	2464
365	1419	2458
366	1421	2451
367	1449	2488
368	1454	2488
369	1459	2485
370	1461	2477
371	1463	2470
372	1472	2476
373	1475	2469
374	1479	2465
375	1481	2457
376	1482	2449
377	1486	2445
378	1488	2439
379	1490	2432
380	1492	2425
381	1494	2417
382	1496	2411
383	1499	2405
384	1501	2398
385	1503	2391
386	1506	2385
387	1507	2378
388	1509	2371
389	1511	2364
390	1513	2357
391	1515	2350
392	1517	2343
393	1519	2337
394	1522	2331
395	1524	2325
396	1527	2319
397	1529	2312
398	1530	2305
399	1532	2298
400	1534	2291
401	1537	2287
402	1539	2281
403	1542	2275
404	1545	2270
405	1547	2263
406	1549	2257
407	1552	2252
408	1555	2247
409	1559	2244
410	1562	2239
411	1574	2247
412	1576	2240
413	1578	2233
414	1579	2227
415	1582	2221
416	1584	2215
417	1586	2209
418	1588	2202
419	1590	2195
420	1592	2189
421	1594	2183
422	1595	2176
423	1597	2170
424	1604	2171
425	1607	2165
426	1609	2159
